joined,left,difference
1874-01-01,1874-03-19,77
1876-07-01,1876-09-14,75
1876-07-01,1876-09-14,75
1876-07-14,1876-12-18,157
1876-07-14,1876-12-18,157
1876-07-15,1877-04-23,282
1876-07-01,1876-09-14,75
1876-07-01,1876-09-14,75
1877-07-28,1877-10-14,78
1879-01-01,1879-07-05,185
1877-10-22,1877-12-29,68
1879-01-01,1879-07-05,185
1879-01-01,1879-07-05,185
1881-07-12,1881-09-22,72
1882-01-04,1882-06-06,153
1882-01-04,1882-06-06,153
1882-01-04,1882-06-06,153
1882-01-04,1882-06-06,153
1882-10-30,1882-12-10,41
1882-10-25,1882-12-10,46
1882-09-25,1882-10-21,26
1867-01-01,1867-06-29,179
1867-01-01,1867-06-29,179
1868-06-30,1868-11-30,153
1868-06-30,1868-11-30,153
1872-06-30,1873-01-11,195
1872-06-30,1873-01-11,195
1872-06-30,1873-01-11,195
1873-07-01,1873-12-31,183
1873-07-01,1873-12-31,183
1873-07-01,1873-12-31,183
1873-07-01,1873-12-31,183
1873-07-01,1873-12-31,183
1873-07-01,1873-12-31,183
1873-07-01,1873-12-31,183
1873-07-01,1873-12-31,183
1876-06-30,1877-01-06,190
1876-06-30,1877-01-06,190
1876-06-30,1877-01-06,190
1876-06-30,1877-01-06,190
1876-06-30,1877-01-06,190
1876-06-30,1877-01-06,190
1876-06-30,1877-01-06,190
1877-06-23,1877-07-06,13
1877-06-23,1877-07-06,13
1877-06-23,1877-07-06,13
1877-06-23,1877-07-06,13
1877-06-29,1877-07-06,7
1877-06-23,1877-07-06,13
1877-06-23,1877-07-06,13
1878-05-13,1878-06-15,33
1878-02-15,1878-06-15,120
1878-05-21,1878-06-27,37
1878-02-15,1878-06-27,132
1864-10-27,1864-11-24,28
1878-05-13,1878-06-27,45
1878-05-15,1878-06-27,43
1878-05-13,1878-06-27,45
1864-10-27,1864-11-24,28
1864-10-27,1864-11-24,28
1864-10-27,1864-11-24,28
1864-10-27,1864-11-24,28
1864-10-27,1864-11-24,28
1864-10-27,1864-11-24,28
1865-11-15,1866-01-05,51
1865-11-15,1866-01-05,51
1865-11-15,1866-01-05,51
1865-11-15,1866-01-05,51
1865-11-15,1866-01-05,51
1865-11-15,1866-01-05,51
1866-05-09,1866-05-25,16
1865-11-25,1866-01-05,41
1865-11-15,1866-01-05,51
1866-05-09,1866-05-25,16
1865-11-15,1866-01-05,51
1865-11-15,1866-01-05,51
1866-05-09,1866-05-25,16
1866-05-09,1866-05-25,16
1866-05-09,1866-05-25,16
1866-07-29,1866-08-14,16
1866-05-09,1866-05-25,16
1866-05-09,1866-05-25,16
1866-05-09,1866-05-25,16
1866-05-09,1866-05-25,16
1866-05-09,1866-05-25,16
1866-07-29,1866-08-14,16
1866-08-14,1866-09-18,35
1866-08-14,1866-09-25,42
1867-01-01,1867-06-30,180
1867-04-17,1867-04-28,11
1866-08-14,1866-09-18,35
1867-04-10,1867-06-02,53
1866-08-14,1866-09-18,35
1867-04-14,1867-05-02,18
1867-04-17,1867-04-28,11
1867-04-16,1867-04-28,12
1867-04-17,1867-04-28,11
1867-04-14,1867-04-28,14
1867-03-26,1867-05-02,37
1867-04-17,1867-04-28,11
1868-02-22,1868-07-04,133
1868-02-22,1868-07-04,133
1869-11-10,1869-11-18,8
1869-06-24,1869-10-27,125
1869-08-24,1869-11-17,85
1869-09-17,1869-10-12,25
1869-11-17,1869-11-25,8
1869-11-17,1870-01-03,47
1869-10-13,1869-10-21,8
1869-11-25,1870-01-03,39
1869-10-13,1869-10-21,8
1869-12-20,1870-01-03,14
1869-11-17,1870-01-03,47
1870-01-04,1870-07-01,178
1870-01-04,1870-05-21,137
1870-01-04,1870-07-01,178
1870-01-04,1870-05-21,137
1870-01-04,1870-06-06,153
1870-01-04,1870-05-21,137
